,Day,Station,Trip ID_x,Trip ID_y,balance
0,2014-03-01 03:00:00,Harry Bridges Plaza (Ferry Building),1,3,-2
1,2014-03-01 08:00:00,Market at 10th,1,2,-1
2,2014-03-01 09:00:00,Embarcadero at Vallejo,2,1,1
3,2014-03-01 09:00:00,Harry Bridges Plaza (Ferry Building),2,2,0
4,2014-03-01 10:00:00,Embarcadero at Sansome,1,4,-3
5,2014-03-01 10:00:00,Harry Bridges Plaza (Ferry Building),1,1,0
6,2014-03-01 10:00:00,Market at Sansome,1,1,0
7,2014-03-01 10:00:00,Townsend at 7th,1,2,-1
8,2014-03-01 11:00:00,Embarcadero at Sansome,1,1,0
9,2014-03-01 11:00:00,Harry Bridges Plaza (Ferry Building),1,2,-1
10,2014-03-01 12:00:00,Embarcadero at Bryant,1,1,0
11,2014-03-01 12:00:00,Embarcadero at Sansome,3,2,1
12,2014-03-01 12:00:00,Grant Avenue at Columbus Avenue,2,1,1
13,2014-03-01 12:00:00,Harry Bridges Plaza (Ferry Building),1,4,-3
14,2014-03-01 12:00:00,Spear at Folsom,1,1,0
15,2014-03-01 13:00:00,Grant Avenue at Columbus Avenue,2,1,1
16,2014-03-01 13:00:00,Harry Bridges Plaza (Ferry Building),4,4,0
17,2014-03-01 13:00:00,Market at Sansome,1,2,-1
18,2014-03-01 13:00:00,San Francisco Caltrain (Townsend at 4th),2,1,1
19,2014-03-01 14:00:00,5th at Howard,1,2,-1
20,2014-03-01 14:00:00,San Francisco Caltrain 2 (330 Townsend),2,1,1
21,2014-03-01 15:00:00,Harry Bridges Plaza (Ferry Building),1,4,-3
22,2014-03-01 16:00:00,Embarcadero at Sansome,2,1,1
23,2014-03-01 16:00:00,Harry Bridges Plaza (Ferry Building),2,4,-2
24,2014-03-01 16:00:00,Market at 4th,1,1,0
25,2014-03-01 17:00:00,Davis at Jackson,2,4,-2
26,2014-03-01 17:00:00,Harry Bridges Plaza (Ferry Building),2,2,0
27,2014-03-01 17:00:00,San Pedro Square,1,2,-1
28,2014-03-01 18:00:00,Harry Bridges Plaza (Ferry Building),3,1,2
29,2014-03-01 18:00:00,Spear at Folsom,1,1,0
30,2014-03-01 19:00:00,Harry Bridges Plaza (Ferry Building),1,4,-3
31,2014-03-02 00:00:00,Civic Center BART (7th at Market),1,1,0
32,2014-03-02 00:00:00,Embarcadero at Sansome,3,1,2
33,2014-03-02 00:00:00,Market at 4th,1,1,0
34,2014-03-02 07:00:00,Clay at Battery,1,1,0
35,2014-03-02 07:00:00,Harry Bridges Plaza (Ferry Building),1,1,0
36,2014-03-02 10:00:00,Mountain View Caltrain Station,1,1,0
37,2014-03-02 10:00:00,Paseo de San Antonio,1,1,0
38,2014-03-02 12:00:00,Embarcadero at Bryant,1,1,0
39,2014-03-02 12:00:00,San Francisco Caltrain (Townsend at 4th),1,2,-1
40,2014-03-02 13:00:00,Embarcadero at Sansome,1,1,0
41,2014-03-02 15:00:00,2nd at Townsend,2,2,0
42,2014-03-02 15:00:00,San Francisco Caltrain (Townsend at 4th),1,1,0
43,2014-03-02 15:00:00,San Francisco Caltrain 2 (330 Townsend),1,1,0
44,2014-03-02 16:00:00,Harry Bridges Plaza (Ferry Building),1,1,0
45,2014-03-02 16:00:00,Rengstorff Avenue / California Street,1,1,0
46,2014-03-02 17:00:00,Embarcadero at Sansome,3,2,1
47,2014-03-02 18:00:00,Embarcadero at Vallejo,3,1,2
48,2014-03-02 18:00:00,Rengstorff Avenue / California Street,1,2,-1
49,2014-03-02 19:00:00,Embarcadero at Bryant,1,2,-1
50,2014-03-02 19:00:00,Townsend at 7th,1,1,0
51,2014-03-03 06:00:00,Embarcadero at Sansome,2,2,0
52,2014-03-03 06:00:00,Market at Sansome,1,1,0
53,2014-03-03 07:00:00,2nd at Townsend,1,2,-1
54,2014-03-03 07:00:00,Civic Center BART (7th at Market),1,1,0
55,2014-03-03 07:00:00,Harry Bridges Plaza (Ferry Building),2,1,1
56,2014-03-03 07:00:00,Market at 4th,2,2,0
57,2014-03-03 07:00:00,San Francisco Caltrain (Townsend at 4th),10,6,4
58,2014-03-03 07:00:00,San Francisco Caltrain 2 (330 Townsend),1,1,0
59,2014-03-03 07:00:00,San Jose Diridon Caltrain Station,3,1,2
60,2014-03-03 07:00:00,South Van Ness at Market,1,1,0
61,2014-03-03 07:00:00,Spear at Folsom,1,2,-1
62,2014-03-03 07:00:00,Steuart at Market,3,1,2
63,2014-03-03 07:00:00,Temporary Transbay Terminal (Howard at Beale),5,1,4
64,2014-03-03 07:00:00,Townsend at 7th,2,1,1
65,2014-03-03 08:00:00,2nd at Folsom,1,1,0
66,2014-03-03 08:00:00,2nd at South Park,3,3,0
67,2014-03-03 08:00:00,5th at Howard,1,2,-1
68,2014-03-03 08:00:00,Beale at Market,1,1,0
69,2014-03-03 08:00:00,Commercial at Montgomery,2,4,-2
70,2014-03-03 08:00:00,Davis at Jackson,1,3,-2
71,2014-03-03 08:00:00,Embarcadero at Folsom,1,1,0
72,2014-03-03 08:00:00,Embarcadero at Sansome,2,4,-2
73,2014-03-03 08:00:00,Grant Avenue at Columbus Avenue,1,2,-1
74,2014-03-03 08:00:00,Harry Bridges Plaza (Ferry Building),5,2,3
75,2014-03-03 08:00:00,Howard at 2nd,3,2,1
76,2014-03-03 08:00:00,Market at 4th,1,2,-1
77,2014-03-03 08:00:00,Market at Sansome,5,2,3
78,2014-03-03 08:00:00,Palo Alto Caltrain Station,1,1,0
79,2014-03-03 08:00:00,San Francisco Caltrain (Townsend at 4th),12,8,4
80,2014-03-03 08:00:00,San Francisco Caltrain 2 (330 Townsend),4,1,3
81,2014-03-03 08:00:00,South Van Ness at Market,3,3,0
82,2014-03-03 08:00:00,Steuart at Market,3,4,-1
83,2014-03-03 08:00:00,Temporary Transbay Terminal (Howard at Beale),3,6,-3
84,2014-03-03 08:00:00,Yerba Buena Center of the Arts (3rd @ Howard),1,3,-2
85,2014-03-03 09:00:00,2nd at South Park,1,2,-1
86,2014-03-03 09:00:00,2nd at Townsend,3,7,-4
87,2014-03-03 09:00:00,5th at Howard,2,1,1
88,2014-03-03 09:00:00,Commercial at Montgomery,1,3,-2
89,2014-03-03 09:00:00,Davis at Jackson,1,1,0
90,2014-03-03 09:00:00,Embarcadero at Bryant,2,1,1
91,2014-03-03 09:00:00,Market at 10th,2,5,-3
92,2014-03-03 09:00:00,Market at Sansome,3,3,0
93,2014-03-03 09:00:00,San Francisco Caltrain (Townsend at 4th),4,4,0
94,2014-03-03 09:00:00,San Francisco Caltrain 2 (330 Townsend),11,2,9
95,2014-03-03 09:00:00,Spear at Folsom,1,2,-1
96,2014-03-03 09:00:00,Steuart at Market,3,1,2
97,2014-03-03 09:00:00,Temporary Transbay Terminal (Howard at Beale),5,2,3
98,2014-03-03 09:00:00,Townsend at 7th,1,3,-2
99,2014-03-03 10:00:00,2nd at South Park,1,1,0
100,2014-03-03 10:00:00,Beale at Market,3,1,2
101,2014-03-03 10:00:00,Embarcadero at Sansome,1,2,-1
102,2014-03-03 10:00:00,Golden Gate at Polk,1,1,0
103,2014-03-03 10:00:00,Howard at 2nd,1,2,-1
104,2014-03-03 10:00:00,Market at 10th,2,2,0
105,2014-03-03 10:00:00,Market at 4th,1,1,0
106,2014-03-03 10:00:00,Powell Street BART,1,2,-1
107,2014-03-03 10:00:00,Temporary Transbay Terminal (Howard at Beale),1,1,0
108,2014-03-03 10:00:00,Washington at Kearny,1,1,0
109,2014-03-03 11:00:00,2nd at Folsom,1,1,0
110,2014-03-03 11:00:00,Embarcadero at Folsom,1,1,0
111,2014-03-03 11:00:00,Embarcadero at Sansome,2,1,1
112,2014-03-03 11:00:00,Mechanics Plaza (Market at Battery),2,2,0
